"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","374",".blur() - blur off a DOM element","Actions","Wed Nov 05 19:51:54 UTC 2025","passed","Wed Nov 05 19:51:55 UTC 2025","","","",""
"","86","assert - assert shape of an object","Assertions","Wed Nov 05 19:52:13 UTC 2025","passed","Wed Nov 05 19:52:13 UTC 2025","","Explicit Assertions","",""
"","84","cy.wrap() - wrap an object","Misc","Wed Nov 05 19:52:50 UTC 2025","passed","Wed Nov 05 19:52:50 UTC 2025","","","",""
"","81","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","Wed Nov 05 19:53:15 UTC 2025","passed","Wed Nov 05 19:53:15 UTC 2025","","","",""
"","190",".each() - iterate over an array of elements","Connectors","Wed Nov 05 19:52:30 UTC 2025","passed","Wed Nov 05 19:52:30 UTC 2025","","","",""
"","86","cy.document() - get the document object","Window","Wed Nov 05 19:53:52 UTC 2025","passed","Wed Nov 05 19:53:52 UTC 2025","","","",""
"","4409","cy.wait() - wait for a specific amount of time","Waiting","Wed Nov 05 19:53:43 UTC 2025","passed","Wed Nov 05 19:53:47 UTC 2025","","","",""
"","262","can filter for completed tasks","example to-do app","Wed Nov 05 19:52:25 UTC 2025","passed","Wed Nov 05 19:52:26 UTC 2025","","with a checked task","",""
"","342","cy.fixture() - load a fixture","Files","Wed Nov 05 19:52:40 UTC 2025","passed","Wed Nov 05 19:52:40 UTC 2025","","","",""
"","1995",".click() - click on a DOM element","Actions","Wed Nov 05 19:51:56 UTC 2025","passed","Wed Nov 05 19:51:58 UTC 2025","","","",""
"","97","finds element by class name regex","Assertions","Wed Nov 05 19:52:13 UTC 2025","passed","Wed Nov 05 19:52:13 UTC 2025","","Explicit Assertions","",""
"","202","cy.location() - get window.location","Location","Wed Nov 05 19:52:45 UTC 2025","passed","Wed Nov 05 19:52:45 UTC 2025","","","",""
"","79","cy.url() - get the current URL","Location","Wed Nov 05 19:52:45 UTC 2025","passed","Wed Nov 05 19:52:45 UTC 2025","","","",""
"","339","Cypress._ - call a lodash method","Utilities","Wed Nov 05 19:53:30 UTC 2025","passed","Wed Nov 05 19:53:31 UTC 2025","","","",""
"","211","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","Wed Nov 05 19:53:12 UTC 2025","passed","Wed Nov 05 19:53:12 UTC 2025","","","",""
"","24","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","Wed Nov 05 19:53:15 UTC 2025","passed","Wed Nov 05 19:53:15 UTC 2025","","","",""
"","95",".prevAll() - get all previous sibling DOM elements","Traversal","Wed Nov 05 19:53:26 UTC 2025","passed","Wed Nov 05 19:53:26 UTC 2025","","","",""
"","231","cy.contains() - query DOM elements with matching content","Querying","Wed Nov 05 19:53:07 UTC 2025","passed","Wed Nov 05 19:53:07 UTC 2025","","","",""
"","87",".first() - get first DOM element","Traversal","Wed Nov 05 19:53:25 UTC 2025","passed","Wed Nov 05 19:53:25 UTC 2025","","","",""
"","764",".check() - check a checkbox or radio element","Actions","Wed Nov 05 19:51:58 UTC 2025","passed","Wed Nov 05 19:51:59 UTC 2025","","","",""
"","146",".focus() - focus on a DOM element","Actions","Wed Nov 05 19:51:54 UTC 2025","passed","Wed Nov 05 19:51:54 UTC 2025","","","",""
"","411","cy.request() - verify response using BDD syntax","Network Requests","Wed Nov 05 19:53:00 UTC 2025","passed","Wed Nov 05 19:53:01 UTC 2025","","","",""
"","79",".isHidden() - determine if a DOM element is hidden","Cypress APIs","Wed Nov 05 19:52:36 UTC 2025","passed","Wed Nov 05 19:52:36 UTC 2025","","Cypress.dom","",""
"","121","cy.getAllCookies() - get all browser cookies","Cookies","Wed Nov 05 19:52:19 UTC 2025","passed","Wed Nov 05 19:52:19 UTC 2025","","","",""
"","159","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","Wed Nov 05 19:53:20 UTC 2025","passed","Wed Nov 05 19:53:20 UTC 2025","","","",""
"","261",".should() - make an assertion about the current subject","Assertions","Wed Nov 05 19:52:12 UTC 2025","passed","Wed Nov 05 19:52:12 UTC 2025","","Implicit Assertions","",""
"","573",".as() - alias a route for later use","Aliasing","Wed Nov 05 19:52:07 UTC 2025","passed","Wed Nov 05 19:52:08 UTC 2025","","","",""
"","757",".uncheck() - uncheck a checkbox element","Actions","Wed Nov 05 19:51:59 UTC 2025","passed","Wed Nov 05 19:52:00 UTC 2025","","","",""
"","691","cy.exec() - execute a system command","Misc","Wed Nov 05 19:52:49 UTC 2025","passed","Wed Nov 05 19:52:49 UTC 2025","","","",""
"","947","cy.go() - go back or forward in the browser's history","Navigation","Wed Nov 05 19:52:54 UTC 2025","passed","Wed Nov 05 19:52:55 UTC 2025","","","",""
"","102",".closest() - get closest ancestor DOM element","Traversal","Wed Nov 05 19:53:24 UTC 2025","passed","Wed Nov 05 19:53:25 UTC 2025","","","",""
"","440",".submit() - submit a form","Actions","Wed Nov 05 19:51:55 UTC 2025","passed","Wed Nov 05 19:51:56 UTC 2025","","","",""
"","1080","Cypress.Promise - instantiate a bluebird promise","Utilities","Wed Nov 05 19:53:31 UTC 2025","passed","Wed Nov 05 19:53:32 UTC 2025","","","",""
"","2530","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","Wed Nov 05 19:53:12 UTC 2025","passed","Wed Nov 05 19:53:15 UTC 2025","","","",""
"","140",".scrollIntoView() - scroll an element into view","Actions","Wed Nov 05 19:52:01 UTC 2025","passed","Wed Nov 05 19:52:01 UTC 2025","","","",""
"","163","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","Wed Nov 05 19:53:20 UTC 2025","passed","Wed Nov 05 19:53:20 UTC 2025","","","",""
"","3671",".type() - type into a DOM element","Actions","Wed Nov 05 19:51:50 UTC 2025","passed","Wed Nov 05 19:51:54 UTC 2025","","","",""
"","197",".dblclick() - double click on a DOM element","Actions","Wed Nov 05 19:51:58 UTC 2025","passed","Wed Nov 05 19:51:58 UTC 2025","","","",""
"","272","cy.request() with query parameters","Network Requests","Wed Nov 05 19:53:01 UTC 2025","passed","Wed Nov 05 19:53:01 UTC 2025","","","",""
"","230","cy.writeFile() - write to a file","Files","Wed Nov 05 19:52:41 UTC 2025","passed","Wed Nov 05 19:52:41 UTC 2025","","","",""
"","78","Control what is printed to the Command Log","Cypress APIs","Wed Nov 05 19:52:36 UTC 2025","passed","Wed Nov 05 19:52:36 UTC 2025","","Cypress.log","",""
"","95","expect - make an assertion about a specified subject","Assertions","Wed Nov 05 19:52:12 UTC 2025","passed","Wed Nov 05 19:52:12 UTC 2025","","Explicit Assertions","",""
"","182","cy.hash() - get the current URL hash","Location","Wed Nov 05 19:52:44 UTC 2025","passed","Wed Nov 05 19:52:45 UTC 2025","","","",""
"","90",".within() - query DOM elements within a specific element","Querying","Wed Nov 05 19:53:07 UTC 2025","passed","Wed Nov 05 19:53:07 UTC 2025","","","",""
"","1571","retries the should callback until assertions pass","Assertions","Wed Nov 05 19:52:13 UTC 2025","passed","Wed Nov 05 19:52:15 UTC 2025","","Explicit Assertions","",""
"","90",".prevUntil() - get all previous sibling DOM elements until el","Traversal","Wed Nov 05 19:53:26 UTC 2025","passed","Wed Nov 05 19:53:26 UTC 2025","","","",""
"","93","pass your own callback function to should()","Assertions","Wed Nov 05 19:52:12 UTC 2025","passed","Wed Nov 05 19:52:12 UTC 2025","","Explicit Assertions","",""
"","83",".nextUntil() - get next sibling DOM elements until next el","Traversal","Wed Nov 05 19:53:25 UTC 2025","passed","Wed Nov 05 19:53:26 UTC 2025","","","",""
"","379","cy.wait() - wait for a specific route","Waiting","Wed Nov 05 19:53:47 UTC 2025","passed","Wed Nov 05 19:53:48 UTC 2025","","","",""
"","94",".nextAll() - get all next sibling DOM elements","Traversal","Wed Nov 05 19:53:25 UTC 2025","passed","Wed Nov 05 19:53:25 UTC 2025","","","",""
"","102","Get CPU architecture name of underlying OS","Cypress APIs","Wed Nov 05 19:52:35 UTC 2025","passed","Wed Nov 05 19:52:35 UTC 2025","","Cypress.arch","",""
"","317",".as() - alias a DOM element for later use","Aliasing","Wed Nov 05 19:52:07 UTC 2025","passed","Wed Nov 05 19:52:07 UTC 2025","","","",""
"","310","cy.getCookie() - get a browser cookie","Cookies","Wed Nov 05 19:52:18 UTC 2025","passed","Wed Nov 05 19:52:19 UTC 2025","","","",""
"","164","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","Wed Nov 05 19:53:20 UTC 2025","passed","Wed Nov 05 19:53:20 UTC 2025","","","",""
"","155","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","Wed Nov 05 19:53:20 UTC 2025","passed","Wed Nov 05 19:53:20 UTC 2025","","","",""
"","85","Cypress.minimatch - test out glob patterns against strings","Utilities","Wed Nov 05 19:53:31 UTC 2025","passed","Wed Nov 05 19:53:31 UTC 2025","","","",""
